,,□,人材派遣会社（営業担当）,・買物客をみているとポイント３倍時や、ガソリン価格の安い時に車列ができて道が混雑している。当たり前かもしれないが、客は余計な物を購入していないか、無駄が多いかもしれないと考えているようで、景気は上向かない。,,,
,,□,求人情報誌製作会社（経営者）,・人手不足が慢性化しているなかで、現状の従業員で少しでも効率が上がる方法を考え、長期的に会社をアピールしながら募集をしている。,,,
,,□,職業安定所（職員）,・求人は増加傾向にあるものの、未充足による更新求人も多い。また、原材料費や燃料費の上昇から、先行きの見通しに、慎重さもうかがえる。在職求職者が増加したが、応募に関しては、慎重で、動きは鈍い。,,,
,,□,職業安定所（職員）,・就職面接会への参加を希望する企業は多く、採用意欲は依然として高い。しかし、企業から受注等が大幅に増加したという話は聞かないことから、横ばいあるいは若干良くなる程度と見込んでいる。,,,
,,□,民間職業紹介機関（経営者）,・希望者の多い正社員求人は増加傾向にあるものの、パート社員不足での対応のようである。しかし、正社員の採用基準に変化がないため、充足できない会社が多い。,,,
,,▲,－,－,,,
,,×,－,－,,,
,,,,,,,
　６．東海（地域別調査機関：三菱ＵＦＪリサーチ＆コンサルティング株式会社）,,,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,,
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由,,,
"家計
動向
関連

(東海)",,◎,商店街（代表者）,・東京オリンピックが近づいており、ますますワクワクしていく。,,,
,,◎,コンビニ（本部管理担当）,・今後も高気温状態が継続するという予報で、小売業を含む各業態で売上増の要因となる。高気温状態が継続すると、値入が良く単価が高い飲料や酒、氷菓系商材が売れ、小売業は利益アップとなる傾向が高い。,,,
,,◎,通信会社（営業担当）,・９月発売予定の新型スマートフォンに期待できる。,,,
,,○,商店街（代表者）,・かなり暑い間は動きが鈍るが、季節の変わり目となりこれから涼しくなるにつれて良くなっていく。,,,
,,○,一般小売店［書店］（営業担当）,・秋期以降は年度末に向けて客の予算の動きが活発になる。,,,
,,○,百貨店（経理担当）,・円安基調にある為替相場のインバウンドへの影響が若干懸念されるが、これを補う以上にレジャー目的の個人需要が持続する。,,,
,,○,百貨店（計画担当）,・夏前は順調に推移していたので、秋以降は同様の状態に回復していく。富裕層や外国人観光客の売上は相変わらず順調に推移している。,,,
,,○,百貨店（経営企画担当）,・来年の消費税の引上げを視野に入れた高額品の受注や消費もそろそろ始まる頃であり、売上は底堅く推移する。,,,
,,○,スーパー（総務担当）,・野菜、果物も思ったほど価格は高騰せず順調に入荷している。一部の野菜を除き価格は安定している。,,,
,,○,スーパー（商品開発担当）,・来客数は２か月連続で100％を達成することができ、回復傾向にある。このまま来客数、売上共に達成すればやや良くなる。,,,
,,○,スーパー（経営企画担当）,・納品先が増えたことにより、売上が伸びる。,,,
,,○,スーパー（商品管理担当）,・気温が落ち着き、秋物のサンマ等が平年並みの価格に落ち着けば良くなる。,,,
,,○,コンビニ（企画担当）,・少なくとも変わらないか、やや良くなる。いろいろネガティブなことを考えたら先行きは明るくはないが、表面的でも良いので、スポーツで活躍する選手の話題が東京オリンピックに向けて多くなってくる。,,,
,,○,コンビニ（店長）,・再開発が本格的に動き出し、その工事需要あるいはその他の需要が増えてくる。ただし、夜の来客数には今のところ動きがみられず、そういった点では多少停滞気味である。,,,
,,○,コンビニ（店員）,・年末商戦に差し掛かるので少しは景気が良くなる。,,,
,,○,乗用車販売店（従業員）,・このままの傾向はしばらく続く。工場への入庫予定数も10％以上多くなっているため、持ち直すことに期待している。特に通勤に自動車を使う人が多い地域であるため、ガソリン代等の維持費を考えて、思い切って買換える客が増えてきたのは良い傾向である。,,,
,,○,乗用車販売店（営業担当）,・年末に新型車種の発売を控えている。,,,
,,○,乗用車販売店（販売担当）,・新しくモデルチェンジする車も今後出てくる予定である。よって、来客数は増加する。,,,
,,○,一般レストラン（経営者）,・秋になると今の時期より来客数が多くなり、売上も増加する。,,,
,,○,都市型ホテル（総支配人）,・秋の行楽シーズンから年末年始に期待している。,,,
,,○,旅行代理店（経営者）,・秋の行楽シーズンに入り、気候も涼しくなるのでレジャー関係は良くなる。,,,
,,○,旅行代理店（営業担当）,・台風等の懸念材料もあるが、旅行需要は高まる。,,,
,,○,タクシー運転手,・現総理が総裁選挙に勝利すれば期待がもてる。,,,
,,○,テーマパーク（職員）,・前年、一昨年と、９～10月の土日には天候不良がなく、例年並みに客が動く。,,,
,,○,美顔美容室（経営者）,・今年度末まで、セット販売のキャンペーンがある。,,,
,,○,美容室（経営者）,・２～３か月先は、この夏にパーマもカットもできなかった客が秋になって来店するので良くなる。,,,
,,○,住宅販売会社（経営者）,・気温が下がってくると、客の動きが良くなる。,,,
,,○,住宅販売会社（従業員）,・消費税の引上げによる来場効果が出てくることに大きく期待している。,,,
,,□,商店街（代表者）,・２か月先の特注等は入っているが、それ以降の売上が見込まれない。,,,
,,□,商店街（代表者）,・この気象状況では判断が難しい。商店街の小売業には、景気より天候の影響が大きい。,,,
,,□,商店街（代表者）,・相変わらず必要な物以外は購入しない状況が続いている。個人消費が伸びておらず、個人消費が改善されない限り景気は良くならない。,,,
,,□,商店街（代表者）,・変わる要素が何もない。涼しくなってもさして消費活動が活発になるとは思えない。,,,
,,□,一般小売店［結納品］（経営者）,・これから秋には選挙があり、景気が良くなる気配がない。,,,
,,□,一般小売店［土産］（経営者）,・今年は猛暑の後、台風の影響等、予断を許さない。,,,
,,□,一般小売店［薬局］（経営者）,・現在は猛暑の影響で、午前中は客が来てくれるが、午後になると閑散として、夕方に少々という感じである。今後２～３か月は秋冬に向かい気候的には過ごしやすくなる。業界としては、今後夏バテで体調を崩す人が例年増えるので、多少期待している。ただし、当地方は一部の企業を除いて本当に不景気である。景気は良くなりそうにない。,,,
,,□,一般小売店［土産］（経営者）,・大きく変化する要因がない。ただし、米国の保護主義による世界的な景気の後退予測は不安要因の一つである。,,,
,,□,一般小売店［生花］（経営者）,・生活に直接関係のない花等は、なかなか売上も伸びず厳しい。,,,
,,□,一般小売店［酒類］（経営者）,・飲食店への来店を控えるようになった客のリズムを変えるのは難しい。,,,
,,□,一般小売店［贈答品］（経営者）,・３か月先は現状とほぼ変わらない。贈答品の中で個人に対するプレゼントは伸びていない。大手企業を中心とする啓発啓もう、広告分野の売上は維持できているが、全体のバランスとしては現状と変わらない。,,,
,,□,一般小売店［果物］（店員）,・３か月ほどでは変わらない。,,,
,,□,一般小売店［和菓子］（企画担当）,・政権の問題等、政治的にも経済的にも、外国の状況が不安定なため先行きが読めない。,,,
,,□,百貨店（売場主任）,・百貨店に来る客は大体決まっている。若い層はネットで購入する人が多い。しかし、ネットで買物をして失敗した客は百貨店に戻ってくることが多い。地域外から引っ越してきた客に話を聞くと、まずは下見という客が多く売上には結び付いていない。,,,
,,□,百貨店（企画担当）,・美術や宝飾品等の高額品や化粧品、食品等の消耗品は前年超えで推移しているが、衣料品、雑貨については苦戦が続いており、この傾向は今後も継続する。ただし、インバウンドの売上の伸びがここ２か月ほど鈍化していることが懸念される。,,,
,,□,百貨店（販売促進担当）,・今の景況感が続く。,,,
,,□,百貨店（販売担当）,・店全体では前年より復調しているが、担当部門は来客数が前年割れで厳しい。異業種の進出の影響が大きい。,,,
,,□,百貨店（販売担当）,・今後はテナントビルのイベント、新作の投入と販促施策が多数あり、自分のために金を使うことが多くなる。しかし大きな好転は見込めない。,,,
,,□,百貨店（業績管理担当）,・周辺の競合店舗は改装をしているが、当店は大きな改装もなく、集客が弱い。,,,
,,□,スーパー（経営者）,・11月頃の国内の景気はさほど変わらないが、石油が原材料の価格は高止まりに推移して、最終的には消費者のところでその値上がり分も支払わされる。これからの自然災害と米国大統領の主張する輸入品への高関税がどうなるかは心配である。,,,
,,□,スーパー（店長）,・現在は、少しでもお買得なところを選んで買物している傾向が強く、急に傾向が変わるとは考えられない。,,,
,,□,スーパー（店員）,・高齢者が非常に多い。数量的にも限られた数量、最低限の数量でずっと続いていく。このまま良くなるという状況にはならない。,,,
,,□,スーパー（販売促進担当）,・今年は何とか前年をクリアする数字を残しているが、大きくは伸びていない。,,,
,,□,スーパー（販売担当）,・販売量が増加する催物が今のところない。どちらかというと今までと変わらない。,,,
,,□,スーパー（ブロック長）,・今後も猛暑や台風等の天候不順が少なからず影響を及ぼす。,,,
,,□,スーパー（販売担当）,・野菜の相場が安定してくれば、鍋材料が売れてくると思うが、景気上昇とまではいかない。,,,
,,□,コンビニ（エリア担当）,・７～８月は猛暑の影響でふだんより良かったが、あくまで猛暑のお陰であった。気温が通常どおりになれば、来客数等も減少し景気はしばらく変わらない。,,,
,,□,コンビニ（エリア担当）,・夕・夜間へ取組の継続と、ちゅう房で作る出来立て弁当の拡大で、何とか前月同様に前年比２％を確保する予定である。,,,
,,□,衣料品専門店（経営者）,・例年どおりの販促はするが、早く暦どおりの気候になってほしい。,,,
,,□,衣料品専門店（売場担当）,・一般的には景気は回復基調にあり、今後も緩やかな回復が見込まれているが、その恩恵が衣料品業界に反映されているとは思えない。,,,
,,□,衣料品専門店（販売企画担当）,・暑すぎて客足が伸びない。定番商品の売行きも悪くなっている。,,,
,,□,家電量販店（店員）,・４Ｋ・８Ｋ放送が始まるものの、それに関して商品が売れるような様子が全くない。,,,
,,□,家電量販店（フランチャイズ経営者）,・猛暑も終わり、目立ったイベントもないため、景気は変わらない。家電業界では閑散期に入る。,,,
,,□,乗用車販売店（営業担当）,・ガソリンの高値が続いており、食品の高値もあり、景気が良くなっていく感じは余りない。,,,
,,□,乗用車販売店（経営者）,・米中の貿易協議の行方によっては、為替や企業業績に大きな影響が出る可能性があり、消費者も少し慎重な姿勢になっている。,,,
,,□,乗用車販売店（経営者）,・変動する要素は見当たらない。米中の貿易摩擦やトルコショック等が悪影響を及ぼす要素となる。,,,
,,□,乗用車販売店（経営者）,・今年はしばらくこの状態が続く。,,,
,,□,乗用車販売店（従業員）,・９月から年末にかけ、各社新型車両の発表による市場の活性を期待したい。しかし、客との話の中では、生活の余裕度の格差がどんどん大きくなってきている。新型車種もいろいろな事故防止機能、ハイブリッド機能等で車両価格が高くなってきており、新車購入決断へのハードルが高くなってきている。,,,
,,□,乗用車販売店（従業員）,・大きく変動する要因は見当たらない。今後何もなければ余り良くない状態が続く。地震等の災害が起きれば、一気に景気は悪くなる。,,,
,,□,住関連専門店（営業担当）,・新築住宅、分譲マンション共に消費税の引上げ前の需要が余り見受けられない。ただし、リフォーム工事等については、消費税の引上げ前にやっておこうという話が入り始めている。その他の大型工事については横ばいの状況で、予算と工事原価が高くなっているため不調との話が多い。,,,
,,□,その他専門店［書籍］（店員）,・本離れということもあり、書店では厳しい状況が続き変わらない。,,,
,,□,その他専門店［雑貨］（店員）,・可もなく不可もなく、よく分からない状況である。,,,
,,□,その他専門店［貴金属］（営業担当）,・季節が変わるとその時のファッションに合わせて宝飾品もいろいろな新作が出る。それに合わせて動く可能性があり少し良くなる。,,,
,,□,その他小売［ショッピングセンター］（経理担当）,・売上高は前年比マイナス1.9％、来客数は前年比マイナス5.2％で推移している。,,,
,,□,高級レストラン（経理）,・メリハリがあり、消費と節約が一進一退である。,,,
,,□,その他飲食［仕出し］（経営者）,・国内が落ち着いても海外が落ち着かない。逆もしかりで、次々に問題が出てくる。,,,
,,□,その他飲食［ワイン輸入］（経営企画担当）,・賃金の上昇もあり、消費者にとっても景気の良さを実感している。,,,
,,□,都市型ホテル（従業員）,・予約数から判断した。,,,
,,□,都市型ホテル（経営者）,・競争競合が激しく、単価が上がらない。,,,
,,□,都市型ホテル（営業担当）,・悪くなる要素が見当たらない。,,,
,,□,旅行代理店（経営者）,・年末年始や年明け以降の動向が、いまだに読めない。,,,
,,□,旅行代理店（経営者）,・人手不足と熟練度の高い人材の不足がネックで店舗効率が悪化している等、あちらこちらでコスト増加の影響が出てくる。,,,
,,□,旅行代理店（営業担当）,・９～10月は旅行シーズンのピークを迎えるが、猛暑はまだ続き、残暑、台風はこれからが本番で、直近での旅行中止、10～11月の計画の見直しや減少が心配である。一番の稼ぎ時の旅行意欲の低下は、観光業の景気後退の大きな要素となる。,,,
,,□,タクシー運転手,・繁華街も人が増えてこない。今後３か月ほどでは変わらない。,,,
,,□,タクシー運転手,・やや景気が良くなったと感じるが、それほど良くはならない。,,,
,,□,タクシー運転手,・８月のような猛暑でタクシーを利用する客は季節要因で、落ち着く。例年のような横ばいとなる。,,,
,,□,通信会社（サービス担当）,・キャンペーンや新サービス等、客にとって魅力のある商品にしなくては、新規客の確保は難しい。,,,
,,□,通信会社（営業担当）,・当面、現状の状態が続く。,,,
,,□,テーマパーク職員（総務担当）,・秋らしい気候となれば来客数は回復するが、前年のように10月に２週連続しての台風接近となれば、来客数は落ち込む。,,,
,,□,観光名所（案内係）,・電力等の値上げが始まっている。一般消費者にとっては良くなる見込みが何もない。,,,
,,□,ゴルフ場（支配人）,・８月の暑さの影響もあり、現時点で２～３か月先の予約数は前年同月より少し低迷している。しかし、涼しくなるにつれて予約数は増えてくる。ゴルフシーズンにもなり、２～３か月先の景気は余り変わらない。,,,
,,□,その他レジャー［スポーツレジャー紙］（広告担当）,・米国と中国の関係が不透明である。,,,
,,□,美容室（経営者）,・明るいニュースもなく、イベントもないので、客は金を使うこともなく、今の状態が当分続く。,,,
,,□,設計事務所（経営者）,・件数は多いが小さく細かな案件ばかりである。面倒な案件が多く、収入面では余り変化はない。,,,
,,□,住宅販売会社（従業員）,・建築業的には横ばい状態である。,,,
,,□,住宅販売会社（従業員）,・ずっと悪いままで推移しており、低金利であっても新築の個人住宅への関心が上昇していない。,,,
,,□,その他住宅［不動産賃貸及び売買］（経営者）,・予算が上がらなければ、売上金額も横ばいで先の上昇が見込めない。,,,
,,□,その他住宅［室内装飾業］（従業員）,・見積り等の問合せが少ない。,,,
,,▲,商店街（代表者）,・猛暑でエアコンのみ好調で他の商品は全然動かない。４Ｋ放送に期待したいが、客の反応は今一つで余り期待できない。,,,
,,▲,スーパー（店員）,・この暑さの影響がどう続くか心配である。台風も多く、作物に影響が出始めている。,,,
,,▲,コンビニ（店長）,・主力商品の値上げが認可され、影響が出る。,,,
,,▲,コンビニ（企画担当）,・天候の影響は今後弱まるため、現在の状況は続かない。,,,
,,▲,コンビニ（エリア担当）,・これまでの悪い流れを断ち切れず、ズルズルと悪い状態が続く。,,,
,,▲,コンビニ（エリア担当）,・最低賃金が上昇することにより人件費が上がるため、商品の発注が抑制されて、売上の減少を招く恐れがある。,,,
,,▲,コンビニ（店長）,・10月にたばこが値上がりし、たばこの売上減少がかなり影響してくる。,,,
,,▲,コンビニ（商品開発担当）,・異常気象の恩恵を受けた現状から平常に戻ると予想されるため、買い渋りの流れに戻ると考える。,,,
,,▲,家電量販店（店員）,・米国の影響がどこまで響くかは分からないが、この先は厳しい状況になる。,,,
,,▲,乗用車販売店（従業員）,・新型車種の投入等も当分なく、現状ある車種での販売を余儀なくされる。,,,
,,▲,乗用車販売店（従業員）,・余り全体的に前向きな感じではない。問合せが少ないわけでもないが、ここ数か月に比べると良くない。先行き不安な部分もある。,,,
,,▲,乗用車販売店（営業担当）,・ここ数か月は好調だったが、これから新型車種が出る予定はないため、減少してきている来客数が心配である。,,,
,,▲,一般レストラン（経営者）,・米国と中国の経済戦争は安全保障にも関わる状況で、世界の情勢は安定していない。変動の時代に入っていく。さらに、異常気象による災害、被害等もあり生活安定のための資金が必要ということで、業界としてはマイナス要因である。,,,
,,▲,一般レストラン（経営者）,・特に良くなるとも思えない。漠然とした理由であるが、悪くなる方向の人が多いのではないかと感じる。,,,
,,▲,一般レストラン（従業員）,・夏の消費の反動が来る。,,,
,,▲,観光型ホテル（経営者）,・前年の大河ドラマの影響が年末まで続き、足元のようにやや悪い状況が今年一杯は続く。団体向けの旅館に関しては、何かのイベント等で半年前に受注が入れば良いが、ない場合はなかなか埋めきれない状況が続いており、今年は、大口団体がなく中型団体も取れず、やや悪くなる状況がだらだらと続く。,,,
,,▲,観光型ホテル（支配人）,・既に先の募集団体等のキャンセルや人員減少が発生しており、予断を許さない状況となっている。風評被害といえるかどうか、継続して少なからず影響は続く。,,,
,,▲,通信会社（企画担当）,・インターネットの普及も一巡し、客が自分からインターネットサービスを検討するというケースは少なくなっている。一方、他社のアプローチ営業はますます活発化しており、動かないユーザを高額サービスへ誘導し、その結果、通信費負担が増えて他のサービスを控えるという、良くない状況になっている。キャリアの実質的な携帯料金引下げが進めば、環境も変わってくる。,,,
,,▲,その他レジャー施設［鉄道会社］（職員）,・被害箇所の復旧にはまだ具体的な計画が出ておらず、２～３か月先の見通しである。通勤通学定期は堅調な状況なので残念である。急逝された人気漫画家とのコラボ企画も、停滞しそうであり期待しづらい。,,,
,,▲,理美容室（経営者）,・客との話では、給与も上がらず、仕事ばかり忙しく大変だと聞く。,,,
,,▲,美容室（経営者）,・若い世代の人口が減少し、高齢者ばかりになっている。美容業界は若い世代の客を集めていかないと良くなっていかない。,,,
,,▲,その他サービス［介護サービス］（職員）,・老人ホーム等の施設は大規模化し、サービスの充実と利益率の向上を図る傾向にあるが、中小施設は人手不足等から作業の質が低下し、競争力がなくなってきている。,,,
,,▲,その他サービス［介護サービス］（職員）,・介護保険の福祉用具レンタルサービスにおいて、10月からレンタル価格の上限制が始まる。上限を超過した商品の単価を見直す必要があるため、売上が減少する。,,,
,,▲,その他住宅［住宅管理］（経営者）,・外装塗装の仕事は増加しているが、利益が上がる物件は少なく、客も合い見積りを何件も取っている物件が多い。,,,
,,×,テーマパーク（職員）,・災害からの復旧が遅れている。,,,
,,×,パチンコ店（経営者）,・認可行政当局の規制強化が一層厳しくなる。,,,
,,×,理容室（経営者）,・景気の良くなるような話は出ない。,,,
"企業
動向
関連

(東海)",,◎,－,－,,,
,,○,食料品製造業（経営企画担当）,・下期に向けて、秋冬商材の導入は順調に進み、前年以上の売場が確保できている。,,,
,,○,パルプ・紙・紙加工品製造業（顧問）,・秋需要の季節を迎え、受注量、販売量も増加する。景気も良くなる。,,,
,,○,一般機械器具製造業（営業担当）,・納期長期化の原因となっていた原材料の不足は解消しつつあるため、少し短い納期で受注を受けることができる状況になってきた。納期が間に合わないため対応できなかった案件が復活する可能性がある。,,,
,,○,電気機械器具製造業（企画担当）,・夏休みを挟んで受注は伸び悩んだが、年末に向けて商談が進めば売上も伸びていく。,,,
,,○,輸送用機械器具製造業（総務経理担当）,・米国が自動車の関税を引き上げるという話が出てきている。恐らく米国向けの生産を駆け込みで行うと予測している。,,,
,,○,建設業（役員）,・猛暑や夏休みも終わり、来年の消費税の引上げに向けて敏感な客は動き出す。,,,
,,○,通信業（総務担当）,・気候が秋らしくなり過ごしやすくなると、人の気持ちも警戒心が収まり消費が増える。また、社会情勢も国内外とも大きな変動がなく、東京オリンピックに向けて更なる投資も発生してくる。,,,
,,○,金融業（従業員）,・目立って良い話はないが、将来にわたって生産等に関して、きっちりと計画を立てており、ある程度増産体制になっている。,,,
,,○,その他サービス業［ソフト開発］（社員）,・案件が増加していること、対応できる体制や増員の可能性があることから売上増が予想される。,,,
,,□,食料品製造業（営業担当）,・受注数、販売数からみてもトータルすると例年どおりである。今のところ大きな変化は見当たらない。,,,
,,□,化学工業（人事担当）,・現在の景気状況は方向性が乏しく、上向きなのか下向きなのかの判断がつきにくい。,,,
,,□,化学工業（総務秘書）,・当面、景気が下がる特段の理由がない。非正規労働者の賃金アップは、忙しくなる話ではあるが景気には決して悪くない。,,,
,,□,窯業・土石製品製造業（社員）,・前月までの品薄感は少しバブル的な感じがあり、消耗品を確保しようと先走っていたが、在庫が増えてきて調整局面に移った。,,,
,,□,鉄鋼業（経営者）,・通常であれば９月から需要期に入り、他の月よりも10～15％ほど売上が伸びるが、本年は見積状況や客の受注状況をみても余り伸びる様子は見受けらない。,,,
,,□,金属製品製造業（経営者）,・引き続き引き合いも低調で、良くなることは考えにくい。,,,
,,□,金属製品製造業（従業員）,・引き続き忙しいのは良いことだが、材料費の高騰がどこまで収益に悪影響となるか心配もある。,,,
,,□,一般機械器具製造業（経営管理担当）,・受注量、価格は高水準で安定している。,,,
,,□,電気機械器具製造業（営業担当）,・変わる要素が見当たらない。,,,
,,□,電気機械器具製造業（総務担当）,・東京オリンピックまでは建設関係は好調といわれている。,,,
,,□,輸送用機械器具製造業（品質管理担当）,・ガソリン価格も最近は安定しており、急に価格が上がることはない。,,,
,,□,輸送業（エリア担当）,・輸出入に影響を与える要素はなく、季節変動の中で動く。,,,
,,□,輸送業（エリア担当）,・燃料の軽油が前年比22円21銭と大幅に値上がりしている。貨物の荷動きは少し良くなってきているが、運賃値上げの方は思うようにはならず、景気は変わらない。,,,
,,□,輸送業（エリア担当）,・他県に異動する人や他県から異動してくる人の引っ越しの件数が例年の夏に比べて少ない。景気の良しあしに直接関係してくることではないかもしれないが、企業の異動がないという手控えの状況が見受けられ、活発に人を動かして活発に企業を運営していくというような観点ではなく、ここはじっくり腰を据えて現有勢力で頑張っていくという会社が多い。したがって、景気は横ばいである。,,,
,,□,輸送業（役員）,・原油価格の高止まりが景気全体に良い影響を及ぼさない。また、米中の貿易問題が間接的に暗い影を落とす。物流業界は、人手不足問題から運賃アップを行ってきているが、運賃に転嫁できない荷主は、徐々に経費負担が大きくなってくることが懸念される。,,,
,,□,輸送業（エリア担当）,・現在も荷物量が増えており配送単価も維持している。,,,
,,□,通信業（法人営業担当）,・物価がデフレを脱却し安定的な上昇が見込まれない状況であり、消費の伸びも感じられない。野菜やガソリンの高値安定も気掛かりである。米国大統領の世界貿易関税の引上げのマイナス面の影響等、景気回復を妨げる不透明さが不安材料である。,,,
,,□,通信業（法人営業担当）,・これまでと同じ戦略、同じ体制で攻めても、現状の打開策にはならないことは分かっているが、何をどうしたら良いのか分からない。,,,
,,□,金融業（企画担当）,・個人投資家は、含み益が出てこないと動けないとの意見が多い。個人投資家以外の個人は、収入が増えてこないと大きな消費に向かいづらいとの考えもあり、当面現状の景気が続く。,,,
,,□,不動産業（経営者）,・今後も例年同様に晴天の日が多くなるという予報もあり、当面の景気は８月同様に良い状態が継続し、売上は前年同月比100％以上で推移する。,,,
,,□,不動産業（経営者）,・地域の活性化、不活性化となる要因は見当たらない。,,,
,,□,不動産業（用地仕入）,・特段のトピックスはない。,,,
,,□,広告代理店（制作担当）,・広告予算を削減している客もいるため、なかなか景気回復が見込めない。,,,
,,□,行政書士,・貨物の動きが変わらない。,,,
,,□,公認会計士,・中堅中小企業の数の多さから、事業承継問題等の抜本的解決には時間が掛かる。,,,
,,□,会計事務所（職員）,・可処分所得はそう変わっていないので、優先順位を考えながら貯蓄と支出に回っていく。,,,
,,□,その他非製造業［ソフト開発］（経営者）,・世界は米国大統領のかじ取りで振り回されているが、この状態が長く続くと世界は信用しなくなる。この先どんなことになるのか、私自身も少し斜めに構えている。ニューヨーク市場については、もう既に信用していない。,,,
,,▲,出版・印刷・同関連産業（営業担当）,・景気が上向きになるような雰囲気はない。特に中小企業に関しては上向きになるような雰囲気はない。,,,
,,▲,化学工業（営業担当）,・飲料関係の需要が落ち着く見込みのため、現行よりはやや悪くなる見込みである。,,,
,,▲,電気機械器具製造業（経営者）,・客先業界の内容が相変わらず悪く、設備関係や椅子等の見通しが余り良くないため、やや悪くなる。,,,
,,▲,電気機械器具製造業（経営者）,・工作機械関係、半導体関係共に、設備投資が一巡しており、客先の様子から今後受注量が若干減少する。,,,
,,▲,輸送用機械器具製造業（管理担当）,・自部署の残業計画から判断した。,,,
,,▲,建設業（経営者）,・国会議員は言いたい放題で企業と組んで補助金をどんどん出し、国家公務員の不正もあったりでは、日本が良くなるわけがない。,,,
,,▲,輸送業（経営者）,・人手不足感は日に日に増しており、働き方改革への対応を考えると大きなコストとなる。,,,
,,▲,新聞販売店［広告］（店主）,・折込広告の出稿量が減っている。,,,
,,▲,会計事務所（職員）,・中小事業者の体力が劣ってきている昨今では、事業廃止による年金生活を望む経営者が増加している。,,,
,,×,－,－,,,
"雇用
関連

(東海)",,◎,－,－,,,
,,○,人材派遣会社（社員）,・下期に向けて求人数や転職者が増えていく。,,,
,,○,人材派遣会社（営業担当）,・自動車関連企業に限らず、下半期に入ると各企業の予算執行は活発になってくるため、当社への引き合いやエンジニア稼働率も良くなってくる。,,,
,,○,アウトソーシング企業（エリア担当）,・下期前半の自動車生産目標を踏まえて、上向きの推移が見込まれる。ただし、生産体制を維持するための人材確保が困難である。,,,
,,○,職業安定所（職員）,・これから10月に最低賃金の引上げもあり、求職者にとっては、賃金上昇のチャンスが広がる。,,,
,,○,民間職業紹介機関（窓口担当）,・人手不足の状況が浸透し、ブランクのある主婦層も求職する状況になり登録数の増加につながってきている。また、ワークシェアを検討する企業も僅かに出てきているため、扶養枠内の就業希望者のマッチングにもつながってきている。,,,
,,○,民間職業紹介機関（営業担当）,・半期末を迎える企業側の動きは、９月末までは継続して採用が活性化する。ボーナス支給後の転職を目指して活動意欲を新たにもつ求職者も動き始める。,,,
,,□,人材派遣会社（経営企画）,・特に変化の兆候はない。,,,
,,□,人材派遣業（営業担当）,・人材難、時間外労働抑制により、思うようには戦略が立てられない状況が継続し、景気好転へは至らない。,,,
,,□,人材派遣会社（社員）,・８月が好調だったので、余り変わらない。,,,
,,□,人材派遣会社（営業担当）,・人材不足が深刻化している企業が多くなって、新たな雇入れが難しくなっている。,,,
,,□,人材派遣会社（企画統括）,・景気が好転する積極的な材料が見当たらない。,,,
,,□,人材派遣会社（営業担当）,・ポジティブな要素を感じない。,,,
,,□,職業安定所（所長）,・求人数が現在より増減となる情報がない。,,,
,,□,職業安定所（所長）,・猛暑の影響や残業抑制等もあり、企業活動にはやや一服感がある。,,,
,,□,職業安定所（次長）,・多くの企業が人手不足の状況であり、受注制限を要するケースもある等、一概に景気が上向くとは思われない。,,,
,,□,民間職業紹介機関（支社長）,・求人数は引き続き高位で安定する。,,,
,,▲,職業安定所（次長）,・求人は増加傾向が続いているが、人員確保が難しい業種も多くみられることから、経営に悪影響を及ぼすことが懸念されている。,,,
,,▲,学校［専門学校］（就職担当）,・在学中に卒業後の採用を前提とした奨学金を法人から受領していても、卒業後に同法人の採用試験に不合格となり、奨学金の返還を求められたケースがある。,,,
,,×,新聞社［求人広告］（営業担当）,・人手不足がますます加速し、採用にはますます経費が掛かる。,,,
,,,,,,,
　７．北陸（地域別調査機関：一般財団法人北陸経済研究所）,,,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,,
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由,,,
"家計
動向
関連

(北陸)",,◎,通信会社（役員）,・閑散月である今月下旬から、例年より多くテレビ、通信サービス共に加入検討の問合せが増加し、客の動きが良い。これからの10～11月の商戦期に期待がもてる。,,,
,,○,一般小売店［事務用品］（店員）,・これから秋に向けて提案件数の増加や新商品の受注が見込める。,,,
,,○,コンビニ（経営者）,・季節商材の予約が好調である。,,,
,,○,衣料品専門店（店舗運営）,・リニューアルを控える店舗が多いため、新規客の獲得が期待できる。,,,
,,○,家電量販店（店長）,・12月から始まるＢＳ４Ｋ、８Ｋ放送の商材に期待がもてる。,,,
,,○,乗用車販売店（経営者）,・例年これからの２～３か月は販売量が増える時期になるので、宣伝量も拡大して活発になると期待している。,,,
,,○,乗用車販売店（従業員）,・猛暑も落ち着き、ショールームのリニューアルによって週末の来客数は増えているので、先行きに期待している。,,,
,,○,観光型旅館（経営者）,・９～10月は国体と障害者スポーツ大会があり、例年よりも売上が見込める。,,,
,,○,観光型旅館（スタッフ）,・予約状況は８～12月の期間で11月のみが98％、それ以外の月は110％を確保している。予約仕入れは順調に推移している。,,,
,,○,タクシー運転手,・来月前半には非常に大きな行事が重なっており、非常に忙しくなる。,,,
,,○,通信会社（職員）,・当店の収入や収益増には直結しないものの、国体特需には期待している。,,,
