,,▲,職業安定所（職員）,・新規求人数の前年同月比は、10か月連続して減少している。,,,
,,×,－,－,,,
,,,,,,,
　６．東海（地域別調査機関：三菱ＵＦＪリサーチ＆コンサルティング株式会社）,,,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,,
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由,,,
"家計
動向
関連

(東海)",,◎,商店街（代表者）,・周囲の人や経営者仲間からは良くなるという声を聞く。,,,
,,○,スーパー（店員）,・お中元商戦もあり来客数も増えてきているため良くなる。,,,
,,○,コンビニ（店長）,・今年は創立記念の年ということもあり、本部が強力な企画を打ち出しているため２～３か月間は景気は良くなる。また、今年も夏は暑くなる長期予報でありコンビニにとっては好材料になる。,,,
,,○,コンビニ（商品企画担当）,・夏季繁忙期に向けた旅行需要の増加により、景気伸長が期待できる。,,,
,,○,家電量販店（店員）,・買換えの問合せが増えている。,,,
,,○,乗用車販売店（従業員）,・販売停止の車種が多いが、販売できる車種の販売枠を大切に使い販売するようになり、しっかり利益が確保できている。,,,
,,○,乗用車販売店（従業員）,・全体的な動きから期待を持てる。客の決断の速さをみるに、フットワークが軽い様子である。現状の景気がかなり良いため、それ以上となると難しいかもしれないが、雰囲気としては期待できる。,,,
,,○,その他小売［ショッピングセンター］（経理担当）,・現状のままであれば、引き続き堅調に推移する。,,,
,,○,一般レストラン（経営者）,・会社員のボーナスが期待でき、天候も良くなって外出が増えることを期待する。,,,
,,○,一般レストラン（従業員）,・野菜の価格が落ち着いてきたため、消費も上向くことを期待する。,,,
,,○,観光型ホテル（支配人）,・宿泊部門は予約数が引き続き堅調である。夏以降は、宴会予約もやや増加傾向にある。,,,
,,○,旅行代理店（経営者）,・本格的な夏休み予約の第２弾の予約を期待している。７月から８月上旬は少し飛行機が混雑しているため、公共交通や車でも行ける大阪・関西万博宿泊パックの国内ツアーに期待している。また、今年は年末年始のカレンダーの日並びが大変良く、12月27日から１月４日で最大９連休になるため、早くもその時期の旅行予約を開始した。,,,
,,○,旅行代理店（営業担当）,・大阪・関西万博への問合せが急速に増えている。個人旅行に加え、団体旅行として計画する案件が急増している。９月まではこの需要は続く見込みで好調は継続する。,,,
,,○,パチンコ店（経営者）,・７月に選挙があるため、いろいろな税制等が緩和されると予想する。そのため、２～３か月先の景気は多少良くなる。ただし、今後も物価の上昇が見込まれ、娯楽への投資が控えられることで、厳しい状況が続く。,,,
,,○,パチンコ店（従業員）,・来客数が増える。,,,
,,○,美顔美容室（経営者）,・８月からは新たなキャンペーンを予定しており、販売数の増加が期待できる。,,,
,,□,商店街（代表者）,・商店街への来客数は依然として盛況で購買意欲も下がっていない。ただし、購買数が減少しているため客単価が上がらない。,,,
,,□,商店街（代表者）,・様々なモノの価格が上昇し続けているにもかかわらず、所得が増えていない。所得増加が末端までいき渡らないと景気は上昇しない。,,,
,,□,一般小売店［結納品］（経営者）,・今年も猛暑が予想され、商店街は苦戦する。,,,
,,□,一般小売店［土産］（経営者）,・観光旅行の形態がすっかり変わった印象を受ける。,,,
,,□,一般小売店［生花］（経営者）,・全ての物価が上昇し、生活が厳しくなっている。しばらくはこの状態が続く。,,,
,,□,一般小売店［酒類］（経営者）,・食料品や４月のアルコール飲料の値上げに伴う飲食店のメニューの改定で、消費者の利用機会が明らかに減少している。,,,
,,□,一般小売店［果物］（店員）,・３か月ほどでは変わらない。,,,
,,□,一般小売店［生活用品］（販売担当）,・景気回復の期待材料がない。,,,
,,□,百貨店（売場主任）,・午前中の来客には60～70代の高齢者層が多く、購買意欲はあるものの、価格が高いと話だけして帰ってしまう。夕方になると仕事帰りの客が増えるが、商品の下見という様子でなかなか売上にはつながらず、今後も厳しい状況が続く見込みである。,,,
,,□,百貨店（営業担当）,・気温の上昇とともに夏物に動きは出てきているが、全体としては大きくプラスになる要因もない。ただし、客の購買意欲が減少しているわけではないため、しばらく今の状況が続く。,,,
,,□,百貨店（営業担当）,・まだ株価に左右される状況が続く。,,,
,,□,百貨店（販売促進担当）,・国内消費は値上げ疲れの影響を受け、やや下向きか良くて現状維持だが、堅調なインバウンドに支えられて好調が持続する。,,,
,,□,百貨店（販売担当）,・余り大きく変わらない。物価高が続くため、購入意欲の低下が気掛かりである。インバウンド需要は大阪・関西万博もあり、引き続き好調に推移する見込みである。,,,
,,□,スーパー（経営者）,・農作物不作が改善されない限り期待できない。,,,
,,□,スーパー（店長）,・米価格の安定後はし好品も売れる。,,,
,,□,スーパー（店員）,・値上がりが続き商品の買い控えはあるが、生活必需品は購入せざるを得ないため、結果として状況は変わらない。,,,
,,□,スーパー（店員）,・全ては暑さと米の値段次第である。飲料は売れても、野菜や肉など日持ちしない物の売上は落ちる。,,,
,,□,スーパー（販売担当）,・物価高になり極力消費を抑えているため平日の来客数が少なくなっている。土日の来客数は相変わらず多いが、客の来店頻度が下がっている。,,,
,,□,スーパー（支店長）,・全てにおいて、物価の上昇に対して収入の増加が芳しくないため、一般消費者心理が消費を抑える傾向になっている。この先も景気が改善される雰囲気や国による政策の効果がない限り、現状よりも悪くなる。,,,
,,□,コンビニ（店長）,・まだ食品の値上げは続く見込みだが、消費者が値上げに対して慣れてきている様子である。しばらく景況感に変化はない。,,,
,,□,コンビニ（店長）,・変わらずの低水準経済となる見込みである。財布の中身が厳しいなか、新聞やおにぎりなどの値上げに象徴されるように依然として基本的なアイテムの値上げが止まらない。,,,
,,□,コンビニ（店長）,・おにぎりや弁当の欠品が多い状況で売上が伸長しているため、まだ伸び代があると判断できる。,,,
,,□,コンビニ（店長）,・客の買物動向を見ていると、無駄な物を買わない傾向が強い。先行きへの不安感があり消費が伸びない様子である。,,,
,,□,コンビニ（本部管理担当）,・米国の貿易交渉が影響し、直近で株価の暴落があったが現在は落ち着いている印象を受ける。海外情勢に大きな変化があった場合、日本も影響を受けるため予断を許さない状況である。米国の政策やロシアによるウクライナ侵攻の状況次第だが、情勢悪化の可能性はないと判断する。,,,
,,□,コンビニ（企画担当）,・来客数が前年を下回っている店舗が増えてきており、この傾向が更に強くなる見込みである。しかし、客単価の上昇により売上は前年を上回っており、しばらくはこの傾向が続く。,,,
,,□,コンビニ（エリア担当）,・季節商材は夏に向けて好調を維持しそうだが、販売点数は今月同様に、物価高騰の影響等もあって苦戦する商材が多くなる。,,,
,,□,衣料品専門店（店長）,・店舗周辺にある客の業績は上向きであるが、消耗品関連への節約は続いている様子で景気は横ばいとなる。,,,
,,□,衣料品専門店（販売企画担当）,・消耗品の消費は変わらないようなので、減少した売上は元に戻る見込みである。,,,
,,□,衣料品専門店（売場担当）,・景気が回復する要素が見当たらない。,,,
,,□,家電量販店（営業担当）,・政治がこのままであれば良くも悪くも変わらない。,,,
,,□,乗用車販売店（経営者）,・ガソリン代も高いままで、先行きの不安感は拭えないが、車への支出に関しては必要経費だと考える人が多い。,,,
,,□,乗用車販売店（経営者）,・米価格を始め物価が少しずつ上昇傾向にあり、消費者は車のような耐久消費財の購入に慎重になっている。,,,
,,□,乗用車販売店（経営者）,・全てのものが高くなっている今日、できるだけ出費を抑えようとする客の意識は続く。,,,
,,□,乗用車販売店（従業員）,・今後はガソリンや電気・ガス料金への補助金政策が実施され、少し生活費に対する防衛意識が緩和されるかもしれない。また、新型車両の各社投入により客の新車への関心が上がることが期待される。物価上昇はまだ続くが、夏のボーナスへの期待もあり、少しでも財布のひもが緩んでくれるよう期待したい。,,,
,,□,乗用車販売店（従業員）,・この時期はボーナス支給に向けて、車を買換える話も盛り上がってくるが、ボーナスをあてにして車を購入する客は減っており、ボーナス払いなしで月々いかに安く維持費を抑えるかに関心が高い様子である。,,,
,,□,乗用車販売店（従業員）,・政府の施策によりガソリン代がやや下がったり、備蓄米が出てきたりしても、その他の物価高をカバーするまでには至らないため景気は悪い状況が続く。,,,
,,□,住関連専門店（営業担当）,・住宅、商業施設など新築工事が減少している。ただし、小・中規模のリフォーム工事は増えているため全体では横ばいである。,,,
,,□,その他専門店［貴金属］（経営者）,・米を始めとする物価高騰と、米国の関税問題や政治不安による消費低迷が影響する。,,,
,,□,高級レストラン（経営企画）,・物価上昇、人手不足は変わらない。メリハリ消費にどう販売施策を講じるか、外食業界全体では前年超えの傾向にあるが収益性の確保が課題である。,,,
,,□,バー（経営者）,・先行きが読めない。,,,
,,□,その他飲食［ワイン輸入］（経営企画担当）,・客との会話では、様々な物の値段が上がり大変だという話が多いが、購入量や購入頻度は以前と変わっていない。,,,
,,□,観光型ホテル（経営者）,・今後は前年比で８～10％程度増収の見込みである。ここしばらく前年よりやや良い状態が続いており、３か月後もこのまま変わらない。,,,
,,□,都市型ホテル（従業員）,・予約数から判断した。,,,
,,□,都市型ホテル（経営者）,・米国の関税など不確実性はあるものの、旅行需要への影響はただちには見受けられない。,,,
,,□,都市型ホテル（総支配人）,・宿泊は、夏休みの予約が伸び始めている。,,,
,,□,都市型ホテル（営業担当）,・良くなる要素や悪くなる要素が見当たらない。,,,
,,□,旅行代理店（経営者）,・物価上昇が落ち着くまではこの状態である。,,,
,,□,タクシー運転手,・現状、週末でも客足が期待できない状況であるため、今後の急な変化はみられないと考える。ボーナスの支給日後は一時的に利用者が増えるであろうが、継続的な来客数増加にはつながらない。現状より低迷しないことを願い、大変な変化がないように期待したい。,,,
,,□,通信会社（営業担当）,・値上げの収束が見えない。,,,
,,□,テーマパーク（職員）,・大阪・関西万博などの影響で分からない。,,,
,,□,テーマパーク職員（総務担当）,・今後予定されている企業の福利厚生イベント等の開催により一定数の集客が期待できる一方、梅雨入りに伴う一般客の入園状況が気掛かりである。,,,
,,□,観光名所（案内係）,・天候不順が続く。どうにもならないかもしれないが、余り悪天候にならないよう願っている。,,,
,,□,その他レジャー施設［鉄道会社］（職員）,・良い兆しが余り見当たらない。,,,
,,□,美容室（経営者）,・特に明るいニュースもなく、周囲では物価高に賃金が追い付いていないという話題ばかりのため、当分は今の状況が続く。,,,
,,□,美容室（経営者）,・これから暑くなれば髪をさっぱりさせたいと考える人が増えるため、来客数が伸びる。,,,
,,□,美容室（経営者）,・物価高騰が落ち着かない限り変わらない。,,,
,,□,住宅販売会社（経営者）,・現在の情勢が長く続く見込みである。,,,
,,□,住宅販売会社（従業員）,・資材や人件費の高騰が変わらない。,,,
,,□,その他住宅［不動産賃貸及び売買］（営業）,・このまま原価高騰が続けば景気が良くなる気配はない。,,,
,,▲,商店街（代表者）,・機器の値上げによる買い控えが顕著にみられる。,,,
,,▲,商店街（代表者）,・国内の大手総合電機メーカーや自動車メーカーが大規模なリストラを行っており、それだけ失業者が増えるなかで景気が良くなるはずがない。,,,
,,▲,一般小売店［高級精肉］（常勤監査役）,・米国の関税政策次第である。,,,
,,▲,一般小売店［文房具］（店員）,・とにかく物価が高い。食料品の値段が高い。,,,
,,▲,百貨店（企画担当）,・株価や為替が安定せず、これまで積極的な購買行動を示していた富裕層の購買意欲が減退傾向となっている。また、インバウンドの高額ブランド購入についても一時より下火になっている。反面、一般サラリーマン世帯の所得増加が確実になったことからか、婦人ファッションを中心に中間層向けのブランドや商材の動きは好調となっている。,,,
,,▲,百貨店（営業企画担当）,・ブランド品等値上げの影響を受けた売上のマイナス傾向がまだ続く。,,,
,,▲,百貨店（販売担当）,・暑くならないため、夏商品の動きが弱い。このまま梅雨になると初夏が盛り上がらず終わりそうである。,,,
,,▲,スーパー（店長）,・自社では備蓄米の販売への対応が遅れているため、大手に客が流れるとみられ、来客数が減少する。,,,
,,▲,スーパー（店長）,・まだ値上げ要請が継続している。,,,
,,▲,スーパー（店員）,・農林水産大臣の施策により、単価の上がっていた米価格の下落が想定される。,,,
,,▲,コンビニ（エリア担当）,・米国関税の影響で景気は低迷する。,,,
,,▲,コンビニ（店長）,・例年であれば３月から５月にかけて天候が暖かくなるにつれ売上が増加するはずなのに、今年は伸びていない。米価格がクローズアップされているように、節約志向が高まっている。,,,
,,▲,家電量販店（フランチャイズ経営者）,・前年はエアコンがよく売れたため、エアコンの売上比率が高まるこれからは前年割れする見込みである。冷蔵庫や洗濯機も値上げが続き、壊れない限り買換えない客が増える。,,,
,,▲,乗用車販売店（営業担当）,・食品や光熱費などの高騰と米国関税の影響が出てくる。,,,
,,▲,乗用車販売店（営業担当）,・前年末から今年にかけて発売された新型車も、既に新車効果が薄れてきており、現状よりも厳しくなる。,,,
,,▲,乗用車販売店（販売担当）,・新型車が発売されたが、車両本体価格の上昇と金利の高さで買控える客が多く、売上につながらない。,,,
,,▲,その他専門店［書籍］（社員）,・夏まで平常期は販売量が抑えられる傾向にある。,,,
,,▲,一般レストラン（経営者）,・自身の体調不良もあり、売上を伸ばそうと思ってもなかなか難しい。いずれは閉店を見込んでいる。,,,
,,▲,その他飲食［仕出し］（経営者）,・世界情勢、国内情勢共に安定感がないため悪い方向に向かっている。,,,
,,▲,旅行代理店（経営者）,・来客数が減少しているため、今後停滞していく。,,,
,,▲,旅行代理店（経営者）,・当地域において、高級ホテルでも高単価なインバウンドが増えているわけではなく、稼働率は上がっていない。円高でインバウンドが鈍ればその分のしわ寄せが宿泊業や飲食店に現れてくる。生鮮３品の低価格スーパーが繁盛し、高品質・高単価な品ぞろえのスーパーが開店しても客の入りは閑散としている。,,,
,,▲,通信会社（企画担当）,・３月から５月の人が多く移動する時期も余り動きがないまま推移しており、今後は物価高の影響をますます受けるようになる。,,,
,,▲,テーマパーク（職員）,・原材料の値上げ、気候変動による作物の不作が影響する。,,,
,,▲,ゴルフ場（経営者）,・予約状況は順調に推移しているが、利益は減少傾向にある。,,,
,,▲,理美容室（経営者）,・客との会話では、物価ばかりが上がり生活が厳しいという声を聞く。このままでいけば景気は悪くなる。,,,
,,▲,その他サービス［介護サービス］（職員）,・物価上昇をサービス料金に反映できない福祉用具貸与の制度が変わらないと現行事業は何も変わらない。新たな事業を考えるしかない。,,,
,,▲,設計事務所（職員）,・米の価格が安定しないことには何ともならない。景気が良くなるかはその後の話である。,,,
,,▲,住宅販売会社（従業員）,・米のニュースは出るが景気回復の施策などが全くない。,,,
,,▲,住宅販売会社（従業員）,・工事費が高騰したままで、借入金利が上がれば返済計画が成り立たなくなり、購入意欲が下る。,,,
,,▲,その他住宅［住宅管理］（経営者）,・輸入建材、国内建材共に値上がりし、このまま建材の高騰が続くとますます厳しい企業が増える。先の関税対策、物価高対策等がみえない状態では３か月先の状況は厳しい。,,,
,,▲,その他住宅［室内装飾業］（従業員）,・６月以降、見積依頼や元請受注など物件の引き合いが減少している。,,,
,,▲,その他住宅［展示場］（従業員）,・良くなる要因がなかなか見いだせない。,,,
,,×,百貨店（総務担当）,・食料品価格が安定せず、物価高騰が全般的に続く一方で、賃金の伸びが追い付いていない状況である。夏季ボーナスにも期待できるが、企業収益動向から消費マインドが下がっており、インバウンドの回復も見込めず、百貨店の売上は厳しい状況が続くものと想定する。,,,
,,×,百貨店（経理担当）,・円高や逆資産効果に伴って富裕層やインバウンド消費の更なる落ち込みが見込まれるとともに、物価が高止まりするなかで、中間所得者の消費も現状維持又は減退する。,,,
,,×,衣料品専門店（経営者）,・物価高の今、衣料品をバーゲンセールだからといって購入する客は少なくなっている。,,,
,,×,タクシー運転手,・物価高騰の影響を受ける。,,,
,,×,設計事務所（経営者）,・全く仕事がない。特に住宅に関しては設計事務所に設計を依頼することがなくなってきている。,,,
"企業
動向
関連

(東海)",,◎,－,－,,,
,,○,一般機械器具製造業（営業担当）,・米国の関税方針が落ち着けば、現在止まっている半導体関連の設備投資案件が再開したり、新たな設備投資が行われる見込みがある。,,,
,,○,輸送業（従業員）,・当社でも賃上げが行われたが企業の賃上げは進んでおり、それに伴い若干ではあるが消費が拡大し、全体的な景気が上向く。,,,
,,○,輸送業（エリア担当）,・変わらず軽貨物での輸送需要は多い。しかし、４月からの貨物軽自動車安全管理者制度は、２年間の猶予はあるが業界全体として法令を遵守できていない企業や個人事業主が多いため、法令遵守に対して受発注共に仕組みの見直しが必要になり、費用がかさむことになる。運賃の見直しが今後発生する見込みである。,,,
,,□,食料品製造業（社員）,・景気が好転する材料が見当たらない。,,,
,,□,パルプ・紙・紙加工品製造業（顧問）,・米国の関税や円安、物価高により景気はやや悪い状況が続く。,,,
,,□,化学工業（営業担当）,・ＡＩ向け電子材料薬液が引き続き好調な見込みである。,,,
,,□,化学工業（総務秘書）,・食品を始めとする物価高がこたえるが、ベースアップを実施した会社も多く、大きな流れとしてはデフレ脱却をめざす好循環の方向にある。今のところ大きな景気後退は起きない見込みである。,,,
,,□,窯業・土石製品製造業（社員）,・新規案件の話が少なく、新規売上の期待は持てない。Ｗｅｂからの問合せ件数は多いが、ほとんどが売り込みばかりで意味がなくなっている。ただし、客からは大きな落ち込みの情報はなく、横ばいの見込みである。,,,
,,□,一般機械器具製造業（経営管理担当）,・受注量、販売量の見込みから判断した。,,,
,,□,電気機械器具製造業（営業担当）,・良化する要素が見当たらない。,,,
,,□,輸送用機械器具製造業（管理担当）,・まだ続く値上げラッシュに加え、米騒動も落ち着くと思わせながら結局値段は下がらないのではと疑っている。ガソリン代も10円の値下げでは中途半端である。,,,
,,□,建設業（営業担当）,・材料費や人件費の高騰で見積額が上がっている。仕事が取れたとしても仕事の件数自体が減ってしまうと、１件当たりの単価は上がっても売上は減るため、景気が上がった実感は得られない。,,,
,,□,輸送業（経営者）,・長引く物価上昇に加え、取引の多い米国、中国の要因もあり荷動きの低迷は続く。,,,
,,□,輸送業（従業員）,・仕事量がやや減少気味であり、本当かどうかは分からないが同業他社からは暇だという声を聞く。毎年５月は少し落ち着く時期ではあるものの、夏場に回復するかどうか荷主に探りを入れても良い返事はない。,,,
,,□,輸送業（従業員）,・米国関税の影響が不透明である。,,,
,,□,通信業（法人営業担当）,・国を挙げて流通スキームの見直しや既得権益に切り込まなければ、消費が上向いたり安定するようにならないと考える。,,,
,,□,金融業（従業員）,・今の不安要素が取り除かれることは見込めず、景気は変わらない。,,,
,,□,金融業（従業員）,・物価の上昇に給料が追い付いておらず、生活が厳しい状況が続く。この先数か月で景気が良くなるとは思えない。,,,
,,□,金融業（企画担当）,・中小企業においては、特に従業員の給与引上げが大手ほど十分にできない。一方で相応に引き上げないと採用、雇用維持も困難であり、相応の引上げは不可避である。これら原価率の上昇を受注価格に転嫁できないと中小企業の経営も厳しく、景気は良くならない。,,,
,,□,不動産業（経営者）,・今後は前年と同様に曇りや雨の日が多くなる予報であるが、外出や遠出をする人は少しずつ増加していく。今後の売上は増加し、前年を上回る状況になると予測する。,,,
,,□,広告代理店（制作担当）,・夏に向けた屋外・屋内イベントの企画も、スタッフ等の人手不足や各材料の値上げにより、前年と比べ厳しい状況が予測される。,,,
,,□,新聞販売店［広告］（店主）,・物価は高騰しているが給与は横ばいで、スーパーなどでも買い控えの様子がみられる。,,,
,,□,公認会計士,・国際情勢によって変化する可能性はあるが、米国の関税やウクライナ問題などがすぐに解決するとは考えにくい。また、減税を期待する個人が消費を控えている傾向にあり、夏の参議院選挙の結果次第では変わる可能性もある。先行きが見えない状態がしばらく続くことから、企業も積極的な投資はしないと考えられ、景気は余り変わらない状態が続く。,,,
,,□,行政書士,・現状維持である。,,,
,,□,会計事務所（職員）,・ガソリン代や電気代、米の値段が補助を受けて幾らか下がるとしても、飲食店の定食の値段等は上がるばかりで、消費者は少しでも安い店を探すことになる。景気の改善にはつながらない。,,,
,,□,会計事務所（職員）,・自動車部品関連の受注量は減少しているが、そのほかの船外機、オートバイ部品等の受注量は特に減少しておらず、増えている物もある。現在のところ米国の関税の影響はまだ出ていないが、この先のことを考えると不安である。,,,
,,▲,金属製品製造業（従業員）,・秋口以降の仕事量に対する不安が各所から聞かれる。,,,
,,▲,電気機械器具製造業（企画担当）,・米国政策の影響が非常に強く輸出が減少しそうであるが、景気対策もなく内需拡大も期待できない。,,,
,,▲,電気機械器具製造業（経営者）,・輸出関連は関税の問題で若干の減少が見込まれる。また、物価が非常に高騰しているため、買い控え等で需要が減る。,,,
,,▲,輸送用機械器具製造業（品質管理担当）,・１度値上がりすると元の価格に戻ることはないため、上がり続ける一方である。,,,
,,▲,建設業（役員）,・国内自動車メーカーのお膝元としては、今後米国関税の影響を受けると厳しくなる見込みである。,,,
,,▲,建設業（経営者）,・政策の方向性は良いが実行力が求められる。このままでは我が国の将来がどうなるか分からない。,,,
,,▲,輸送業（エリア担当）,・米国の関税政策による受注の悪化が見込まれる。,,,
,,▲,その他非製造業［ソフト開発］（経営者）,・米国の関税により生産が停滞するため景気はスローダウンする。このようなときには逆転の発想が必要で、新製品の完成を１日も早く急ぐ必要がある。,,,
,,×,食料品製造業（営業担当）,・受注数、販売数共に減少している。,,,
,,×,鉄鋼業（経営者）,・例年であれば４月の受注が今月から出てくるものだが、今年はない。この状況であれば夏場以降は例年比では２～３割受注が減少する可能性もある。,,,
,,×,金属製品製造業（経営者）,・引き合いの減少が著しく、悪い方向へ大きな変化が起きている。,,,
,,×,通信業（総務担当）,・我が国だけの問題ではないものの、今は耐えるしかない。金を使っても、将来の収入に対する安心感が持てれば、購入意欲が湧く。,,,
"雇用
関連

(東海)",,◎,－,－,,,
,,○,民間職業紹介機関（営業担当）,・ボーナス支給明けを境に転職活動を始める人が増加する時期であり、採用決定数が増加する見込みである。ただし、地政学リスクに鑑み求人ストップなどの動きが出てくる可能性がある。,,,
,,□,人材派遣会社（社員）,・今月と同様くらいの予約状況で変わらない。,,,
,,□,人材派遣会社（営業担当）,・減税等大胆な施策の効果がない限り、景気回復がイメージできない。,,,
,,□,職業安定所（職員）,・求人数に大きな変動がみられない。,,,
,,□,職業安定所（職員）,・中小企業においては、原材料価格やエネルギー価格の高騰などを価格転嫁ができない状況が継続しており、賃上げなどへの対応も厳しい状況となっている。一部業種での人手不足感は継続しているものの、新たな求人提出を控え、今後の景気動向を含めて様子見をしている業種もあることがうかがえる。米国の関税政策に伴う自動車を始めとした各種製造業などへの影響が予測できない状況だが、現段階において大きな生産調整などの情報は把握していないことから、景気動向に当面大きな変化は生じないと判断する。,,,
,,□,職業安定所（職員）,・米国の関税の動きが不透明であり、企業側の不安が続く。ガソリン価格に対する国の施策も、全体的な物価高は解消されていないため、すぐに好転するとは予測できない。,,,
,,□,民間職業紹介機関（窓口担当）,・例年ゴールデンウィーク明けから落ち着く求人依頼が長期的に継続しており、業界に偏りはあるものの人手不足の状況が影響している。今後も景気の影響にかかわらず、企業のニーズは一定数が恒常的に続くものになりつつある。,,,
,,□,学校［大学］（就職担当）,・新卒採用に関しては長期スパンで動いていることが多く、２～３か月で状況が大きく変わることは考えにくい。,,,
,,▲,人材派遣業（営業担当）,・これまでの状況から劇的に上昇する可能性はなく、引き続き景気は後退する。,,,
,,▲,人材派遣会社（営業担当）,・足元は変化がなくとも、依然として米国関税の影響は軽視できず、北米向けの商流がある自動車関連メーカーからの引き合いは影響を受ける可能性がある。,,,
,,▲,人材派遣会社（営業担当）,・若手の求人案件は多いが、求職者は安定した正社員のポジションを希望する傾向が強くなり、スキルや年齢のギャップが拡大し、採用が更に困難になっている。,,,
,,▲,アウトソーシング企業（エリア担当）,・自動車製造業における労働者供給については可もなく不可もなくの状況が続くが、今後米国関税の影響による自動車製造や部品製造の落ち込みがどれくらいになるかが懸念事項である。,,,
,,▲,職業安定所（職員）,・物価高や米国関税政策による影響が不透明である。,,,
,,▲,職業安定所（職員）,・物価高が続くなか、米国の関税について予断を許さない状況が続いており、事業の先行きに不透明感が強く求人活動にも影響が出始めている。,,,
,,▲,職業安定所（職員）,・新規求人数が前年同月比で減少している。また、米国の関税に関して、求人事業所から現時点では影響はないが、今後影響が出てくるか不安であるという声が多数聞かれた。,,,
,,▲,学校［専門学校］（就職担当）,・前年同期と比べ、内定率はやや下回っている。同時に前年採用された法人の採用人数も現時点では減少しており、やや心配である。,,,
,,×,人材派遣会社（社員）,・求職者の動きのみならず、求人企業も採用に対し慎重な動きが見られるようになった。,,,
,,,,,,,
　７．北陸（地域別調査機関：一般財団法人北陸経済研究所）,,,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,,
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由,,,
"家計
動向
関連

(北陸)",,◎,－,－,,,
,,○,商店街（代表者）,・天候次第で景気は変動するが、欧米を中心としたインバウンドは減る様子がない。,,,
,,○,スーパー（仕入担当）,・食料品価格の高止まりや米価格引下げにより家庭内需要が高まり、生鮮食品や調味料の需要が上がるとみている。,,,
,,○,乗用車販売店（総務担当）,・受注できる車種が増加するため、現状より良くなるとみている。,,,
,,○,その他小売［ショッピングセンター］（統括）,・食料品、日用品の価格上昇は継続しているものの、ゴールデンウィーク期間中に動きの悪かった服飾品の購買需要の反動が、８月のお盆を挟んだ長期連休に出てくるとみている。,,,
,,○,一般レストラン（統括）,・米価格を始め物価が上がり続けているが、今後米の供給不足や価格高騰、関税問題などが解消されれば、不透明感が薄れて景気も改善するとみている。,,,
,,○,競輪場（職員）,・ガソリン代の引下げや備蓄米放出等によって客の消費マインドが高まり、娯楽への出費が増えるとみている。また、６月からはボーナスシーズンとなり、臨時収入を得ることによって売上が増えると考える。,,,
,,○,美容室（経営者）,・国内大手鉄鋼メーカーによる米国大手鉄鋼メーカー買収の動向や米価格低下への期待など、僅かではあるが最近明るいニュースが報道されている。,,,
,,□,商店街（代表者）,・大阪・関西万博などの明るい話題があれば財布のひもも緩みそうだが、景気が上向くにはまだ時間が掛かりそうである。,,,
,,□,商店街（代表者）,・各店舗の来客数が少なく、商店街全体で買い控え傾向が続くとみている。,,,
,,□,一般小売店［精肉］（店長）,・この先も物価高が続き、販売量や売上は今月と同じような動きが続くとみている。肉はどちらかというとぜいたく品とみられているのか、購入を控える動きが徐々にみえている。,,,
,,□,一般小売店［事務用品］（店長）,・需要期以外の購入は余り期待できない。,,,
,,□,一般小売店［書籍］（従業員）,・景気が良くなる要素がなく、資材等の高騰もあいまって、景気は変わらないか若干悪くなるとみている。,,,
,,□,百貨店（売場主任）,・物価高の影響と米国の追加関税による先行きの不透明感、そしてインバウンドによる売上の失速などマイナス要因ばかりで、現状維持が精一杯と見込んでいる。,,,
,,□,スーパー（店長）,・今後も商品が値下がりする傾向はなく、ライフラインを含め生活コストが増えている。賃金上昇の影響は少ないとみている。,,,
,,□,スーパー（総務担当）,・ガソリン価格が若干下がっているが、米国の関税引上げの影響を受けて人員削減も目立ってきている。,,,
,,□,コンビニ（店舗管理）,・米の店頭価格次第ではやや良くなる可能性があるとみている。,,,
,,□,衣料品専門店（経営者）,・消費志向が高まる兆しはみられず、当面は現状のままと考える。,,,
,,□,衣料品専門店（経営者）,・今後３か月はセール期間であり消費マインドが高まるとみているが、物価高騰による買い控えで客単価が下がり、来客数増加も期待できないとみている。,,,
,,□,衣料品専門店（経営者）,・地域によって若干差はあるが、ゴールデンウィークの販売量がやや悪かったため、このままセール時期まで客の購買意欲が低いままで推移するとみている。,,,
,,□,家電量販店（店長）,・物価高により客は必要品以外は買わないとみている。,,,
,,□,家電量販店（店長）,・食品等の値上げが続いている影響か、主要商品における客の購入単価が下がっている。,,,
,,□,乗用車販売店（経営者）,・ガソリン価格の高騰が注目される状況がしばらく続き、景気状況は変わらないとみている。,,,
,,□,住関連専門店（役員）,・米や食品、日用品等の物価高騰に加え、世界及び日本経済の先行き不安もあいまって、客の買い控えや節約傾向がこれからも続くとみている。,,,
,,□,その他専門店［酒］（経営者）,・良くなる兆しが全くみえないことから、この先も景気は変わらないと考える。,,,
,,□,高級レストラン（スタッフ）,・県外からの団体客の受注が、例年の８割で推移しているため見通しは厳しい。大阪・関西万博の影響も考えられる。,,,
,,□,スナック（経営者）,・小売店や商店街でも売上が減少していると聞いており、先々もこの状態が続くと考える。,,,
,,□,観光型旅館（経営者）,・夏休みに入るまでは現状と同じような動きで、週末の予約はあるが平日の予約が弱くなるとみている。大阪・関西万博の影響を受けている可能性がある。,,,
