,,□,百貨店（売場主任）,・４月になっても就職の決まらない人が多いため、紳士物ではスーツ、ネクタイ、ワイシャツなどのビジネス商品の売行きが非常に悪くなる。また、イラク情勢が早く解決しないと世の中の景気が上向かない。,
,,□,百貨店（営業担当）,・これから初夏から夏にかけてファッションの変わり目になるが、業界を見渡しても目新しい商品、話題性のある商品がなかなか見当たらない。,
,,□,百貨店（営業担当）,・自分の物を求める場合は単品買いが中心となっており、今後婦人ファッションにヒット商品が出ない限り、まとめ買いに進むことはなかなか難しい。,
,,□,スーパー（店長）,・良くなる材料は全くない。競争がますます激しくなる中で、客の要望にこたえ、個性を発揮できる企業が勝ち組として生き残る。,
,,□,スーパー（店長）,・来客数や買上点数の増加、単価の上昇などがほとんどみられないため、客の財布のひもは引き続き固いままである。,
,,□,スーパー（営業担当）,・客の買い方から判断して、季節商材の切替えや催事のタイミングさえ間違えなければ、今まで以上の購入が期待できる。,
,,□,衣料品専門店（経営者）,・イラク情勢が悪化するなか、陽気が良くなるとともに景気の回復も期待したい。,
,,□,乗用車販売店（総務担当）,・３月は季節柄販売量は伸びるが、４月から排出ガス規制、グリーン税制などの変更があるため、３月の反動によりやや落ちる。,
,,□,乗用車販売店（営業担当）,・30～40代の客の購入が低迷している。それ以降の年代は車をあまり買わない。,
,,□,住関連専門店（店長）,・厳しい売上が続いている。しかし、客は必要なとき、必要な商品を購入しており、潜在的な需要は確実にあるので、これ以上の買い控えは生じない。,
,,□,都市型ホテル（スタッフ）,・４月は宿泊部門、レストラン部門、宴会部門がいずれも前年同月を下回る見通しであるが、５月は宴会部門で前年を上回る。２か月を通してみると、前年をやや上回る見込みである。,
,,□,旅行代理店（従業員）,・海外旅行は今一つであるが、国内旅行によって前年並みの売上がカバーできそうな見通しである。,
,,□,タクシー運転手,・これから春先にかけて観光客などの需要はあるが、前年後半から今年３月までに各社のタクシーが100台増車され、競争が激しくなったため、総体的には変わらない。,
,,□,住宅販売会社（従業員）,・総合展示場の来場者数は当社のスペースだけ若干多いが、全体としては例年に比べてそれほど増加していない。,
,,▲,一般小売店［鮮魚］（従業員）,・取引先の飲食店関係では、例年この時期に多い新規開業の話が聞かれず、逆に倒産や廃業の話が多い。,
,,▲,百貨店（営業担当）,・３月は気温が低かったため、今後春物、初夏物の動きが出ると思われる。しかし、初夏、夏に向けて、婦人ファッションのトレンドがまだ具体的に見つからないため、需要の喚起は厳しい。,
,,▲,スーパー（店長）,・例年４月は入学、引っ越しシーズンのうえ、税金の納付なども加わり、出費の多い時期である。さらに、株価の低迷、イラク情勢の悪化など暗いニュースが流れ、客の財布のひもは例年以上に固くなる。,
,,▲,スーパー（店長）,・イラク情勢、景気動向、他店との競合の影響などからみて、客の低価格志向がますます加速し、またバーゲン期になっても価格の低下が一層顕著になる。,
,,▲,スーパー（総務担当）,・来客数や買上点数は変わらないが、単価が一層低下しているため、売上の増加は難しい。,
,,▲,コンビニ（エリア担当）,・夜間の来客数が大幅に減少している。理由は消費者心理の冷え込みにより、夜は外出を控え、また外出してもあまり物を買わないためとみられる。,
,,▲,乗用車販売店（経営者）,・販売量も単価もますますダウンする傾向にあり、上向く材料がなかなか見当たらない。,
,,▲,その他専門店［医薬品］（営業担当）,・ドラッグストアの競争状態が続いており、自店、他店ともに出店速度が加速している。１、２年後に淘汰されるまで現状は変わらない。,
,,▲,高級レストラン（スタッフ）,・前年は大河ドラマという特需があったが、今年は好材料が少なく、特に観光客が減少している。,
,,▲,一般レストラン（店長）,・３、４月は卒業、入学シーズンで持ち帰りずしが売れる時期であるが、高いものは売れない。,
,,▲,観光型旅館（スタッフ）,・前年と比較して、予約保有件数の差がなかなか埋まらず、むしろやや拡大傾向にある。,
,,▲,都市型ホテル（スタッフ）,・宴会部門の予約状況は順調であるが、宿泊、レストラン、婚礼の予約が弱く、売上は減少する。,
,,▲,通信会社（社員）,・イラク情勢の影響により、ガソリン、灯油の価格が上昇しており、全体的に景気は下向きになる。,
,,▲,通信会社（営業担当）,・新規購入の見込客が徐々に減少しており、低価格商品を導入するか、大幅な割引キャンペーンを実施しないと、販売増が見込めない状態が続く。,
,,×,コンビニ（経営者）,・３月末に１件、４月に１件と、同じ商店街で当地方では有名な店が消える。この街の老舗は両手で数えられるほどになった。,
,,×,コンビニ（経営者）,・イラク情勢の影響などもあり、いつものことながら明るい動きが全く見えない。,
,,×,その他専門店［酒］（経営者）,・イラク情勢、株価など全てに明るい兆しがない。先行き不透明なため、さらに悪化する。,
,,×,観光型旅館（経営者）,・４月の統一地方選挙及びゴールデンウイークの休日の並びが悪いため、予約数が伸びてこない。,
,,×,テーマパーク（職員）,・２～３か月先の予約状況は前年比２けた近い減少である。近隣の温泉地の予約状況も同様である。大河ドラマや近くの名刹のイベントが終了した反動もあり、大幅な減少が予想される。,
"企業
動向
関連

(北陸)",,◎,－,－,
,,○,繊維工業（経営者）,・５月から秋冬物の生産シーズンに入る。コスト面では厳しいが、開発商品に期待している。,
,,○,電気機械器具製造業（経理担当）,・携帯電話は次世代機種が浸透し、景気のけん引役が期待できる。,
,,□,食料品製造業（企画担当）,・業界の中で企業の淘汰がみられる。現在の価格が更に低下すると、原材料価格が不安定なだけに厳しくなるが、現状は底に近いと判断している。,
,,□,繊維工業（経営者）,・現状ではあまり変化はないが、イラク情勢の影響が懸念される。,
,,□,化学工業（営業担当）,・販売量は多少増加傾向となるが、価格の軟化により売上増は期待できない。,
,,□,通信業（営業担当）,・４月から次世代携帯電話のエリアがまた拡大されるが、この機種への切替えは少し先になると予想され、売上に大きな変化はない。,
,,□,新聞販売店［広告］（従業員）,・新聞購読料の集金が少しずつ遅れがちになっている。,
,,□,司法書士,・自分の債務整理に関する相談のほか、最近では保証人になったという事例での相談が非常に増えており、今後も経済状況は良くならない。,
,,▲,金属製品製造業（経営者）,・これから先の受注予約量が減少している。,
,,▲,精密機械器具製造業（経営者）,・小売店での販売状況の落ち込みが前年末から続いており、低位横ばいとなっている。この影響が春すぎから出てくる。また、最近は小売店の顧客サイドでの価格競争が激化しており、メーカーの収益状況が悪化する。,
,,▲,輸送業（配車担当）,・イラク情勢の悪化などが盛んに報じられており、今後景気が上昇する明るい要素が見当たらない。,
,,×,金属製品製造業（経理担当）,・イラク情勢の長期化により、景気は低迷する。,
,,×,建設業（経営者）,・４～６月は工事の出ない時期である。さらに、公共工事の下請受注についても非常に厳しい見積を出しているため、受注の確保が心配である。,
,,×,建設業（総務担当）,・見積を依頼されても、最終的な提示価格においてはますます採算の確保が困難になっており、業況は悪化の一途である。,
"雇用
関連

(北陸)",,◎,－,－,
,,○,新聞社［求人広告］（担当者）,・求人件数の動きを前年４月から今年３月までの１年間でみると、前年比でほぼ同じ状況である。地方の状況は持ち直した感があり、これから求人は増えていく。,
,,○,職業安定所（職員）,・現在のところ、大量離職者が発生するという情報はない。また、低迷していた製造業の求人が回復基調にあり、当面は新規求人の上向き傾向が続く。,
,,□,人材派遣会社（社員）,・例年４月は新入社員の採用で受注が落ちる時期であるが、今年は採用の抑制から即戦力の人材を求める動きもあり、先行きは若干明るい。,
,,□,求人情報誌製作会社（編集者）,・先を見据えた求人、将来に備えた求人がほとんどなくなっている。,
,,▲,職業安定所（職員）,・新規求人数が前年比で１年ぶりに減少に転じている。また、今月も数件のリストラ情報が入っている。,
,,▲,民間職業紹介機関（経営者）,・新規の雇用契約料金が若干低下傾向にある。,
,,×,－,－,
,,,,,
　７．近畿（地域別調査機関：（株）大和銀総合研究所）,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由,
"家計
動向
関連

(近畿)",,◎,その他レジャー施設［球場］（企画担当）,・プロ野球公式戦が開始するが、在阪のある球団は戦力的に充実しており、リーグ優勝が狙えると見込まれている。あと一つの在阪球団についても、今年は当球場で８試合が予定されているが、シーズンオフ中の補強により戦力がアップしていることから、好試合が期待され、来場者数の増加が見込まれる。,
,,○,一般小売店［酒］（経営者）,・地元ケーブルテレビで取上げられることによる販促効果が、今後良い結果で表れると期待される。,
,,○,百貨店（売場主任）,"・イラク情勢の影響により、過去の湾岸戦争時にみられたような海外旅行の中止による、ブランド商品や高額品への消費のシフトを期待している。とりわけ、ゴールデンウィークの海外旅行のキャンセルが増加していることから、この期間の売上推移を注視したい。
・消費のけん引役であった若年層に買い控えの動きがみられるが、中高年層は今後株価の動きにもよるが高額品の需要が高まると予想する。",
,,○,百貨店（売場主任）,・イラク情勢の影響は予想がつかないが、気温、気候がよくなれば、後倒しで春物が動き出すと考えられる。,
,,○,百貨店（企画担当）,・売上については厳しい状況が続くが、近日オープンする新規ショップの集客効果を期待したい。,
,,○,百貨店（営業担当）,・一昨年の米国同時多発テロの際に、海外旅行を取りやめてブランド品や高級時計などを買う動きがみられた様に、今回もイラク情勢の影響で、多少は旅行から買物に時間とお金が流れると期待できる。,
,,○,スーパー（経営者）,・イラク情勢や経済状況の先行き不透明な状態が続く見込みで、中食、内食の割合が上昇する。発泡酒増税前の駆け込み需要やゴールデンウィークを近場で過ごす家族の増加が予想され、食品小売業にとってはプラスとなる。,
,,○,高級レストラン（支配人）,・徐々に売上の回復傾向が見受けられ、今後も安定が見込める。,
,,○,旅行代理店（広報担当）,・イラク情勢が早期解決されると報道されているので良くなっていく。,
,,○,通信会社（経営者）,・受注案件及び自社商品共に順調に伸びていることから、先行きに期待できる。,
,,○,通信会社（社員）,・大手通信電話会社による携帯電話の新機種発売が控えており、先行きに期待できる。,
,,○,その他住宅［展示場］（従業員）,・イラク情勢による不安定要素はあるものの、住宅ローン減税による需要と住宅取得資金贈与の特例のダブル効果が期待出来る。,
,,○,その他住宅［情報誌］（編集者）,・前年の東京圏に続き、大阪圏でもようやく、一部のエリアに限定されるものの、中古不動産相場が若干反転上昇しており、不動産価格の将来的な下落感に歯止めがかかる可能性がある。,
,,□,一般小売店［花］（経営者）,・景気回復の要因が見当たらない。イラク情勢もあり、経済情勢がどのように変わっていくのかという不安もある。,
,,□,一般小売店［精肉］（管理担当）,・食品は価格等で底を打った感はあるが、イラク情勢の問題解決が長期化すると予想されていることで、日本経済への悪影響が消費者の心理的不安をもたらしている。,
,,□,一般小売店（経営者）,・案件ベースで今後３か月をみても、新たなオフィス備品需要は官庁関連、特に福祉関連に限られる。民間の案件がほとんどない。,
,,□,一般小売店［精肉］（管理担当）,・イラク情勢により経済環境が大きく変動する要素がある。,
,,□,百貨店（売場主任）,・目的買いの需要もなく、トレンド商品が見当たらないため、急激に消費が上向くとは考えられない。,
,,□,百貨店（売場主任）,・６月は秋物商材が動き出す時期であるが、この春の動きをみると購買意欲がある程度回復すると予想される。世界情勢が不安定なため、安近短指向の顧客や観光客が増加することによる購買力の増加が見込める。,
,,□,スーパー（経理担当）,・気温が上昇し春の行楽シーズンを迎えるほか、新学期、ゴールデンウィークなどイベントが連続するため、セールを仕掛けやすい時期となるが、売上については前年比で大きな伸びを見込める環境にはなっていない。,
,,□,スーパー（経理担当）,・駅前の開発が進んでいるため、駅前立地商圏で供給が過剰になると予想され、悪い状況が今後も続く。,
,,□,衣料品専門店（営業・販売）,・周囲の状況が悪くても、必要な物、欲しい物は購入するという客が増えており、引き続いて先行きに期待が持てる。,
,,□,家電量販店（店長）,・ＡＶ機器、大型テレビが売れているが、買替え商品はサイクルが長くなってきていることから、先行きの見通しは厳しい。,
,,□,家電量販店（経理担当）,・企業業績は回復基調にあるが、リストラによる回復であり個人消費に好影響を与えることは考えにくい。現在株価の急速な下落で消費マインドがかなり落ち込んでいるので、これ以上の落ち込みはないのではないかと思う。イラク情勢の問題解決が長引けば悪くなる可能性も否定できない。,
,,□,家電量販店（企画担当）,・欲しい物はあってもなかなか購買に結びつかない。良い物を購入する意識は上がっているが、今後も買い控えが目立つと予想される。,
,,□,家電量販店（営業担当）,・ＤＭの販促策など売出しの案内状に対する反応が鈍い。来店しても購入しない、購入目的がないという状況が続いている。今後も厳しい状況が続く。,
,,□,乗用車販売店（営業担当）,・商用車が売れているが、企業もイラク情勢の影響で様子をみている。また、収入減のため買替を控えていることなどをみると、今後落ち込むことはないが、伸びることもない。,
,,□,乗用車販売店（販売担当）,・イラク情勢に関連がある。,
,,□,住関連専門店（経営者）,・現在は都心近郊からの引き合いに加え、地方からの引き合いも非常に弱い状態が続いているが、この状況が今後も続くと思われる。,
,,□,一般レストラン（スタッフ）,・イラク情勢の影響で経済状況に変化が出てきているが、大きな変動はないと予想される。,
,,□,観光型ホテル（経営者）,・先の予約状況をみても非常に悪い。最近は間近予約の傾向がかなり強いため、先の予約状況だけでは判断しにくいが、従来の単価ではなかなか予約が成立しにくくなっている状況である。,
,,□,観光型ホテル（経営者）,・イラク情勢の影響で、不安、閉塞感はまだまだ漂っている。銀行の貸し渋り、貸し剥がしも続いており、新しく投資する意欲は全く出てこない。,
,,□,観光型旅館（団体役員）,・イラク情勢など、内外共に先行き不透明である。,
,,□,都市型ホテル（スタッフ）,・特に目立ったイベントもなく、順調だった先行予約も一段落している。逆に前年６月はサッカーワールドカップにより国内旅行が激減した為、今年は例年並みの来客を期待している。,
,,□,都市型ホテル（副総支配人）,・宿泊､宴会予約状況は改善していないため厳しさがあるが、レストランはリニューアル店舗が完成するため期待はできる。,
,,□,タクシー運転手,・実車率は依然として回復の兆しがない。客の話にも景気好転を予感させるような明るいものがない。,
,,□,通信会社（経営者）,・悪材料は一巡しているものの、さらなる販売拡大につながる要因は見当たらない。,
,,□,ゴルフ場（経営者）,・やや来客数の減少が止まりつつある。安い所へ流れていた客が、高価格な所へと流れ始めてきた。今後もこの傾向が続くと予想される。,
,,□,競輪場（職員）,・１人当たりの購買単価が上昇するのは難しいため、今の厳しい状況が続く。,
,,□,競輪場（職員）,・イラク情勢、デフレ問題など先行き不透明感が拭えず、明るい兆しが見当たらない。,
,,□,その他レジャー施設［イベントホール］（職員）,・先の予約状況は、長期公演があるため前年に比べて良くなっている。ただ、他は未決定のものもあるため手放しでは喜べない。,
,,□,その他レジャー施設（企画担当）,・イラク情勢がレジャー消費に水をさす反面、国内レジャーは関東の大型テーマパークなど、アメリカ型集客施設以外にはチャンスがある。景気が良くなるということではないが、業績的には期待ができる。,
,,□,その他サービス［クリーニング］（経営者）,・春のシーズンの立上がりが遅くなった分、ある程度後半に需要がシフトするとは考えられるが、それも５月の連休明けくらいまでの短期型で終わりそうな流れである。,
,,▲,商店街（代表者）,・店主の意気込みが感じられない。どこへいっても悪い話ばかりで明るさがない。こんな状況ではすぐに良くなるとは思えない。,
,,▲,商店街（代表者）,・政治の不安定、イラク情勢、統一選挙の影響で消費が低迷すると予想される。,
,,▲,商店街（代表者）,・日曜日に休む店が増えており、今後更ににぎわいがなくなる恐れがある。,
,,▲,一般小売店［貴金属製品］（経営者）,・ユーロ高が続いているため、ブランド商品の値上げが予想される。,
,,▲,百貨店（売場主任）,・イラク情勢の問題解決の長期化により購買力の低下が進み、引き続き厳しい状況が続く。,
,,▲,百貨店（売場主任）,・今のところイラク情勢の影響はまだ出ていないが、企業破綻、失業者の増加など経済環境の悪化は深刻であり、先行きの見通しは厳しい。,
,,▲,スーパー（経営者）,・週末になると安い外食で済ませ、一から料理を作ってみんなで食べることをしなくなっていることから、今後の見通しは厳しい。,
,,▲,スーパー（店長）,・イラク情勢など暗い話題が多く、明るい材料がない。ただ戦争で景気が向上した例もあるので、一概に悪材料とは言い難いが、いずれにしても不安材料がまだまだ多い。,
,,▲,コンビニ（経営者）,"・不況感、イラク情勢など様々な報道による先行き不透明な情報が購買意欲を削いでいる。
・コンビニエンスストアの使い方が、購入する場所から、留まる、休憩する場所に変わってきている。特に工事関係者、営業関係者が駐車場に長時間滞在し、客の回転が悪くなってきており、先行きに期待はできない。",
,,▲,コンビニ（経営者）,・本来、３、４月あたりから客単価は上昇し、来客数も増加するが、今年に関しては特に客単価が上昇してこないことから、先行きが懸念される。,
,,▲,コンビニ（店長）,・イラク情勢により先行き不透明である。政治不信、経済不安、政治家のモラルの低下でプラス要素が全くない。,
,,▲,コンビニ（店長）,・イラク情勢の影響が出てくると危惧している。,
,,▲,衣料品専門店（経営者）,・今月の販売量から考えると、行楽シーズンに入っても売上の増加を望むのは無理である。,
,,▲,衣料品専門店（総務担当）,・イラク情勢の行方がわからないため景気が不安定になっており、先行きの見通しは厳しい。,
,,▲,家電量販店（経営者）,・イラク情勢の問題解決が長引けば、客の不安感をあおるので景気は悪くなる。,
,,▲,乗用車販売店（経営者）,・イラク情勢の影響で中古車の買替えが厳しくなっており、その結果国内での中古車の価格が下落している。イラク情勢の問題解決が長引けば、景気がなお悪くなっていくと予想される。,
,,▲,乗用車販売店（経営者）,・４月は減給やリストラする企業が多くなることが予想される。新聞などでは景気低迷が更に深刻化すると報じており、イラク情勢の問題解決も長期化しそうなので、今後も景気回復につながる良い要素はない。,
,,▲,乗用車販売店（営業担当）,・株価の下落、イラク情勢、ガソリンの高騰など不安定要素ばかりであるため、先行きに期待できない。,
,,▲,自動車備品販売店（従業員）,・来客数はそれほど減少していないものの客単価は少しずつ下落しており、この傾向は１月以来続いている。消費者の所得水準が回復しない限り、相当厳しい状況が続く。,
,,▲,一般レストラン（スタッフ）,・イラク情勢の影響によるガソリン等の石油関連製品の値上げを案じて、消費はますます落ち込む。,
,,▲,観光型旅館（経営者）,・イラク情勢の影響が尾を引き、ガソリンや他商品の価格の上昇が予想される。,
,,▲,都市型ホテル（経営者）,・良くなる要素が少ない。イラク情勢の問題解決が長期化すると、消費者マインドには悪影響を及ぼすと考えられる。国内旅行が増加する可能性もあるが不透明である。短期的には企業業績や景気は基本的に悪い状態が続くと思われ、先の受注もここしばらくは前年割れが続くと予想される。,
,,▲,タクシー運転手,・現在やや良くなっているのは一時的なものであり、遠距離割引は他社もいずれ同じ水準に並ぶことから、見通しは良くない。,
,,▲,タクシー運転手,・雨の日以外は歩くという客の傾向がみられ、タクシーはますます良くない状況になる。,
,,▲,通信会社（経営者）,・イラク情勢による影響を受けそうである。,
,,▲,テーマパーク（職員）,・年度末を迎えての株価の低迷等で、企業の決算にはあまり期待できない。そしてこの様子が喧伝され景況感が悪くなってくると予想される。イラク情勢も重要な要素になり、その行方次第では景気は悪化していく。,
,,▲,ゴルフ場（経営者）,・予約状況が悪い。割引料金を設定した日だけ予約が入るなど、状況は引き続き厳しい。,
,,▲,その他サービス［学習塾］（経営者）,・新入生の集まりが良くない。月謝の負担を少しでも減らそうとする動きから、１人当たりの授業料は減っているなど、先行きの見通しは厳しい。,
,,▲,その他サービス［ビデオ・ＣＤレンタル］（エリア担当）,・イラク情勢の動向、経済状況とも見通しがつかず、新規出店についても非常に慎重である。,
,,▲,住宅販売会社（経営者）,・イラク情勢の問題解決が長引きそうな気配の中で、購買意欲が低下する。,
,,▲,住宅販売会社（従業員）,・景気の低迷により、なぜこの時期に住宅を新築するのか、顧客の購買意欲に沸き立つものが見当たらない。生前贈与の住宅取得特例も住宅購入の強い後押しにはなっておらず、今後の見通しは厳しい。,
,,×,一般小売店［食料品］（経営者）,・イラク情勢の影響により消費者の財布のひもがますます固くなる。,
,,×,一般小売店［衣服］（経営者）,・近隣に大型100円ショップが出店したため、対抗し得る商品の仕入れを考えているが、既に売上が減少している。先行きの見通しは暗い。,
,,×,衣料品専門店（経営者）,・イラク情勢の影響や、競合相手の増加による先行き不安があるほか、まわりの景気も良くないことから、見通しは厳しい。,
,,×,衣料品専門店（経営者）,・イラク情勢の動向によるところが大きい。,
,,×,乗用車販売店（経営者）,・イラク情勢の影響が出てくる。,
,,×,乗用車販売店（経営者）,・イラク情勢が解決されない限り、当分不安定な時代が続く。株価も不安定であり、先行き不安なことばかりである。,
,,×,一般レストラン（スタッフ）,・景気回復につながる材料や話題が見当たらない。小泉政権の支持率が低下しており、これといった改革の実施もない。イラク情勢の影響も懸念される。,
,,×,旅行代理店（店長）,・海外旅行はイラク情勢の動向により出控えが続くと思われる。国内旅行はテーマパーク、北海道方面が伸びると思われるが、海外旅行をカバーするまでには至らず全体的には悪くなると予想される。,
,,×,旅行代理店（営業担当）,・イラク情勢、ＳＡＲＳ（新型肺炎）の影響で海外旅行の予約は激減し、国内旅行の先行きも間際申込が目立つ。現状では、開花宣言をもってしても、春うららという気分にはほど遠い。,
,,×,旅行代理店（営業担当）,・先行き３か月の販売状況は、海外旅行が前年の50％、国内旅行が80％台で推移している。またＪＲ、航空機などの交通機関の利用も減少傾向にある。急激な回復は考えにくく、先行きの見通しはかなり悪いと判断せざるをえない。,
,,×,遊園地（経営者）,・テーマパークの閉鎖や遊園地の廃業が報道され、レジャーランド全体のイメージダウンになっており、先行きの見通しは厳しい。,
,,×,設計事務所（所長）,・イラク情勢の影響、株価の低迷で景気は良くならない。,
"企業
動向
関連

(近畿)",,◎,出版・印刷・同関連産業（経営者）,・来客数は減少したが、伸びている企業が数社出てきており順調な売上を保っている。今後他の勝ち組企業との契約を進める予定であるため、先行きに期待できる。,
,,◎,建設業（経営者）,・受注量が安定して増えてきている。ここ数か月はこの傾向が続く見込みである。,
,,○,一般機械器具製造業（経営者）,・新規客の開拓が進んで具体的商談が決まりつつあるなど、先行きに期待が持てる。,
,,□,出版・印刷・同関連産業（経営者）,・約定通りの支払がなされないケースが出てきており、先行きの良くなる要因が見当たらない。,
,,□,化学工業（経営者）,・原材料の値上げ要求が強くなってきている。逆に製品は値下げ要求が強く、利益が圧迫されるという状況である。コスト削減にも限度があるが、価格が安定するまで不安定な状況は続く。,
,,□,金属製品製造業（経営者）,・金融機関の不良債権処理の進展が不透明な状況で、ゼネコンの再編の動きが見えず、営業面でも明るい話題が少ない。,
,,□,電気機械器具製造業（経営者）,・イラク情勢による不透明感で、さらに気分的に不景気色が濃くなる。,
,,□,輸送用機械器具製造業（経営者）,・補修工事、交換工事を中心に引き合いは出てきているが、まだまだ量的に不足しているため、現在の厳しい状況が続く。,
,,□,その他製造業［ゴム製プラスチック製履物］（団体役員）,・イラク情勢の動向、将来への不安により消費の陰りがみえてきている。,
,,□,建設業（社員）,・公示価格の下落率が縮小しているものの、工場等の国外移転や銀行の統廃合、企業の社宅売却により、市場で土地が余っていることから、商業地、住宅地問わず下落が引き続き予測される。その結果として企業基盤の不安定は続くと予想される。その一方で、都心の一等地では下げ止まったところもあり、土地の収益性と価格とのバランスがとれてきたことも伺える。,
,,□,輸送業（営業担当）,・イラク情勢の影響で燃料費が高騰しており、運輸業界にとっては経営圧迫要因となっている。先行きの見通しは引き続き厳しい。,
,,□,不動産業（経営者）,・市内中心部の店舗出店意欲が旺盛であるほか、都心回帰傾向も強く、都心部の居住用賃貸住宅の需要が堅調であるなどの好調な動きがこれからも続く。,
,,▲,化学工業（経営者）,・量販店の売上が良くなく、新商品の企画があまりないことから、先行きが懸念される。,
,,▲,金属製品製造業（経営者）,・製品の値上げが困難である一方、スクラップや古紙等の原料価格が高騰しているなかで、材料の値上がりを製品に転嫁できない状況がこれからも続く。,
,,▲,一般機械器具製造業（経営者）,・イラク情勢の影響により、設備計画の実行が延期される傾向にある。この傾向は全ての分野においてみられることで、ここ２、３か月は設備投資は低調になる。,
,,▲,電気機械器具製造業（従業員）,・イラク情勢の影響がいろいろな所で生じると予想される。,
,,▲,建設業（経営者）,・イラク情勢の影響により、物価の高騰やテロの危険に伴う景気の更なる低迷が予想され、建設等の大型投資はますます控えられることが予想される。,
,,▲,建設業（経営者）,・今後はより厳しい競争になる。イラク情勢の影響で建設資材の高騰も心配である。,
,,▲,金融業（支店長）,・株価、為替、イラク情勢と不安要因が多く、安定した経営基盤を確立することが困難であるという雰囲気が蔓延している。,
,,▲,金融業（支店長）,・イラク情勢等によって、企業の様子見の状態が続く。その一方で、受注コスト削減で中国への製造の流出が増え、国内の企業が厳しい状態になる。,
,,▲,広告代理店（営業担当）,・イラク情勢の影響により、しばらく様子見の状況になる。,
,,×,食料品製造業（経営者）,・イラク情勢の影響で外国との取引に関するチェックが厳しくなっているが、今後コストの高い国内の利用が増えることで利益が出にくくなる。,
,,×,食料品製造業（従業員）,・イラク情勢の問題解決が長引けば原料価格の高騰が予想されるが、販売価格にはなかなか転嫁できないことを考えると、先行きには期待できない。,
,,×,繊維工業（経営者）,・不良債権処理問題やイラク情勢の影響で、更に状況は悪化していく。特に原油価格の変動は、消費動向のみならず原料価格にも影響してくる二重苦の様相を帯びてくる｡,
,,×,窯業・土石製品製造業（経営者）,・全く動きが止まって低調である。イラク情勢の影響で更に悪くなる。,
,,×,建設業（経営者）,・イラク情勢の影響で、客の気分が家を買おうという雰囲気ではない。かなり冷え込んでいる状態であり、先行きには期待できない。,
,,×,コピーサービス業（従業員）,・イラク情勢の問題解決が長期化するとの見方が強まり、株価の下落が予想される。先行き不透明な状況で高額品等の買い控えは否めない。,
"雇用
関連

(近畿)",,◎,－,－,
,,○,人材派遣会社（社員）,・イラク情勢は、解決されないまでも見通しがはっきりすると予想されることから、先行きに期待できる。,
,,○,学校［大学］（就職担当）,・大手、中堅企業ともにリストラが一巡し、企業収益が回復基調にある。これまで新規大卒者の採用を抑制してきたため、社員の年齢構成上のバランスが悪くなったことから、採用を再開、増員する企業が増えてきており、先行きに期待できる。,
,,□,人材派遣会社（社員）,・顧客企業の統合、再編が進み、採用を手控えている。受注があっても少人数のものばかりで大口の受注が見込まれない。,
,,□,新聞社［求人広告］（担当者）,・イラク情勢など不安要素が多く、求人については様子見が続く。,
,,□,職業安定所（職員）,・前年同月に比べて新規求職者数は減少し、新規求人数はやや増加傾向にある。有効求人倍率はかなり改善されているが、求人と求職のミスマッチは広がるばかりで雇用状況が良くなるとは判断できない。,
,,□,職業安定所（職員）,・大量の離職は前年度に比べて減少しているが、事業規模縮小、希望退職者の募集、退職勧奨などを行う事業所が多く、引き続き厳しい状況が続く。,
,,□,民間職業紹介機関（支社長）,・本来であれば回復基調になるが、イラク情勢や決算の影響が大きく、４～６月は例年より予測しにくい。,
,,▲,人材派遣会社（社員）,・企業におけるリストラが一層推進される感があり、正社員のみならず、派遣社員の減員も予想される。長期雇用契約が減少し、需要の低迷が顕在化しつつある。,
,,▲,求人情報誌製作会社（編集者）,・イラク情勢の影響による石油価格の高騰、イラク情勢の問題長期化による株価への影響、賃下げを実施する企業の増加による消費の減少、地価の下落による銀行や保険会社の不良資産増加、といった具合に明るい材料が無い。しかし優秀な人材の求人は多く、即戦力、コアになる人を採用したいという企業と求職者のマッチングのなかにビジネスチャンスはあると考えている。,
,,▲,新聞社［求人広告］（担当者）,・イラク情勢など国際情勢の不安定な状態が続く中で、景気も上向きにならない。,
,,▲,新聞社［求人広告］（担当者）,・イラク情勢によって旅行代理店などの求人数が減少し、付随する業種からの求人数の減少が予想される。,
,,▲,民間職業紹介機関（職員）,・先行きについては、求人業者も労働者も現在の好調は一過性のものと否定的にとらえている。,
,,▲,学校［大学］（就職担当）,・イラク情勢や北朝鮮問題の先行きが不透明で、身のまわりの消費マインドも落ち込んでいる。,
,,×,人材派遣会社（社員）,・イラク情勢とデフレ問題が、見通しの厳しい要因である。,
,,×,新聞社［求人広告］（担当者）,・担当しているビルメンテナンス、人材派遣業界などにおいては、一段と同業者間の競争が激しくなっており、成績の上がらない人は次々リストラされていることから、先行きは厳しい。,
,,,,,
　８．中国（地域別調査機関：（社）中国地方総合研究センター）,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由,
"家計
動向
関連

(中国)",,◎,＊,＊,
,,○,住宅販売会社（経理担当）,・新規発売物件の効果により、全体的な契約数が増加する。,
,,□,商店街（代表者）,・イラク情勢が悪化するため、良くなる希望が持てない。,
,,□,商店街（代表者）,・イラク情勢が２～３か月以内に終結すれば変わらないが、長引くと確実に悪くなる。,
